"","country_name","country_iso2","week","category","weekly_rank","show_title","season_title","cumulative_weeks_in_top_10"
"1","Japan","JP",2023-02-19,"Films",1,"Re/Member","N/A",1
"2","Japan","JP",2023-02-19,"Films",2,"Noise","N/A",2
"3","Japan","JP",2023-02-19,"Films",3,"Mission: Impossible - Fallout","N/A",1
"4","Japan","JP",2023-02-19,"Films",4,"Harry Potter and the Sorcerer's Stone","N/A",8
"5","Japan","JP",2023-02-19,"Films",5,"Harry Potter and the Chamber of Secrets","N/A",8
"6","Japan","JP",2023-02-19,"Films",6,"Ataru: the First Love & the Last Kill","N/A",1
"7","Japan","JP",2023-02-19,"Films",7,"Harry Potter and the Goblet of Fire","N/A",7
"8","Japan","JP",2023-02-19,"Films",8,"Harry Potter and the Prisoner of Azkaban","N/A",8
"9","Japan","JP",2023-02-19,"Films",9,"The Lone Ume Tree","N/A",1
"10","Japan","JP",2023-02-19,"Films",10,"Harry Potter and the Half-Blood Prince","N/A",7
"11","Japan","JP",2023-02-19,"TV",1,"Love to Hate You","Love to Hate You: Season 1",2
"12","Japan","JP",2023-02-19,"TV",2,"Crash Course in Romance","Crash Course in Romance: Season 1",3
"13","Japan","JP",2023-02-19,"TV",3,"The Interest of Love","The Interest of Love: Season 1",5
"14","Japan","JP",2023-02-19,"TV",4,"Blue Lock","N/A",10
"15","Japan","JP",2023-02-19,"TV",5,"Trolley","Trolley: Season 1",2
"16","Japan","JP",2023-02-19,"TV",6,"War of Trap","War of Trap: Season 1",2
"17","Japan","JP",2023-02-19,"TV",7,"Elpis","Elpis: Season 1",3
"18","Japan","JP",2023-02-19,"TV",8,"First Love","First Love: Season 1",13
"19","Japan","JP",2023-02-19,"TV",9,"Flower of Evil","Flower of Evil: Season 1",8
"20","Japan","JP",2023-02-19,"TV",10,"Why didn’t I tell you a million times?","Why didn’t I tell you a million times?: Season 1",1
"21","Japan","JP",2023-02-12,"Films",1,"Noise","N/A",1
"22","Japan","JP",2023-02-12,"Films",2,"Cube","N/A",2
