"","country_name","country_iso2","week","category","weekly_rank","show_title","season_title","cumulative_weeks_in_top_10"
"1","South Korea","KR",2023-02-19,"Films",1,"Unlocked","N/A",1
"2","South Korea","KR",2023-02-19,"Films",2,"Confession","N/A",2
"3","South Korea","KR",2023-02-19,"Films",3,"Nope","N/A",1
"4","South Korea","KR",2023-02-19,"Films",4,"Boomerang Family","N/A",1
"5","South Korea","KR",2023-02-19,"Films",5,"Ditto","N/A",1
"6","South Korea","KR",2023-02-19,"Films",6,"On the Line","N/A",5
"7","South Korea","KR",2023-02-19,"Films",7,"Your Place or Mine","N/A",1
"8","South Korea","KR",2023-02-19,"Films",8,"Where the Crawdads Sing","N/A",3
"9","South Korea","KR",2023-02-19,"Films",9,"Pawn","N/A",2
"10","South Korea","KR",2023-02-19,"Films",10,"Nothing Serious","N/A",4
"11","South Korea","KR",2023-02-19,"TV",1,"Crash Course in Romance","Crash Course in Romance: Season 1",5
"12","South Korea","KR",2023-02-19,"TV",2,"Physical: 100","Physical: 100: Season 1",4
"13","South Korea","KR",2023-02-19,"TV",3,"Mr. Queen","N/A",1
"14","South Korea","KR",2023-02-19,"TV",4,"Love to Hate You","Love to Hate You: Season 1",1
"15","South Korea","KR",2023-02-19,"TV",5,"Red Balloon","Red Balloon: Season 1",7
"16","South Korea","KR",2023-02-19,"TV",6,"True Beauty","N/A",2
"17","South Korea","KR",2023-02-19,"TV",7,"The Interest of Love","The Interest of Love: Season 1",7
"18","South Korea","KR",2023-02-19,"TV",8,"The Glory","The Glory: Season 1",8
"19","South Korea","KR",2023-02-19,"TV",9,"I am Solo","I am Solo: Part 9 - Part 12",32
"20","South Korea","KR",2023-02-19,"TV",10,"Trolley","Trolley: Season 1",5
"21","South Korea","KR",2023-02-12,"Films",1,"Confession","N/A",1
"22","South Korea","KR",2023-02-12,"Films",2,"Where the Crawdads Sing","N/A",2
"23","South Korea","KR",2023-02-12,"Films",3,"Viking Wolf","N/A",2
"24","South Korea","KR",2023-02-12,"Films",4,"On the Line","N/A",4
"25","South Korea","KR",2023-02-12,"Films",5,"Nothing Serious","N/A",3
"26","South Korea","KR",2023-02-12,"Films",6,"Confidential Assignment 2: International","N/A",6
"27","South Korea","KR",2023-02-12,"Films",7,"Spider-Man: No Way Home (Extended Version)","N/A",2
"28","South Korea","KR",2023-02-12,"Films",8,"JUNG_E","N/A",4
"29","South Korea","KR",2023-02-12,"Films",9,"True Spirit","N/A",1
"30","South Korea","KR",2023-02-12,"Films",10,"Pawn","N/A",1
"31","South Korea","KR",2023-02-12,"TV",1,"Crash Course in Romance","Crash Course in Romance: Season 1",4
"32","South Korea","KR",2023-02-12,"TV",2,"Physical: 100","Physical: 100: Season 1",3
"33","South Korea","KR",2023-02-12,"TV",3,"The Interest of Love","The Interest of Love: Season 1",6
"34","South Korea","KR",2023-02-12,"TV",4,"Red Balloon","Red Balloon: Season 1",6
"35","South Korea","KR",2023-02-12,"TV",5,"True Beauty","N/A",1
"36","South Korea","KR",2023-02-12,"TV",6,"The Glory","The Glory: Season 1",7
"37","South Korea","KR",2023-02-12,"TV",7,"I am Solo","I am Solo: Part 9 - Part 12",31
"38","South Korea","KR",2023-02-12,"TV",8,"Awaken","Awaken: Season 1",4
"39","South Korea","KR",2023-02-12,"TV",9,"Mr. Sunshine","Mr. Sunshine: Season 1",16
"40","South Korea","KR",2023-02-12,"TV",10,"Trolley","Trolley: Season 1",4
"41","South Korea","KR",2023-02-05,"Films",1,"Where the Crawdads Sing","N/A",1
"42","South Korea","KR",2023-02-05,"Films",2,"JUNG_E","N/A",3
"43","South Korea","KR",2023-02-05,"Films",3,"Spider-Man: No Way Home (Extended Version)","N/A",1
"44","South Korea","KR",2023-02-05,"Films",4,"Confidential Assignment 2: International","N/A",5
"45","South Korea","KR",2023-02-05,"Films",5,"On the Line","N/A",3
"46","South Korea","KR",2023-02-05,"Films",6,"Narvik","N/A",2
"47","South Korea","KR",2023-02-05,"Films",7,"Viking Wolf","N/A",1
"48","South Korea","KR",2023-02-05,"Films",8,"Nothing Serious","N/A",2
"49","South Korea","KR",2023-02-05,"Films",9,"Decision to Leave","N/A",6
"50","South Korea","KR",2023-02-05,"Films",10,"Devotion","N/A",3
"51","South Korea","KR",2023-02-05,"TV",1,"Crash Course in Romance","Crash Course in Romance: Season 1",3
"52","South Korea","KR",2023-02-05,"TV",2,"Physical: 100","Physical: 100: Season 1",2
"53","South Korea","KR",2023-02-05,"TV",3,"The Interest of Love","The Interest of Love: Season 1",5
"54","South Korea","KR",2023-02-05,"TV",4,"Awaken","Awaken: Season 1",3
"55","South Korea","KR",2023-02-05,"TV",5,"The Glory","The Glory: Season 1",6
"56","South Korea","KR",2023-02-05,"TV",6,"Red Balloon","Red Balloon: Season 1",5
"57","South Korea","KR",2023-02-05,"TV",7,"I am Solo","I am Solo: Part 9 - Part 12",30
"58","South Korea","KR",2023-02-05,"TV",8,"Mr. Sunshine","Mr. Sunshine: Season 1",15
"59","South Korea","KR",2023-02-05,"TV",9,"Reborn Rich","N/A",12
"60","South Korea","KR",2023-02-05,"TV",10,"Trolley","Trolley: Season 1",3
"61","South Korea","KR",2023-01-29,"Films",1,"JUNG_E","N/A",2
"62","South Korea","KR",2023-01-29,"Films",2,"Confidential Assignment 2: International","N/A",4
"63","South Korea","KR",2023-01-29,"Films",3,"Devotion","N/A",2
"64","South Korea","KR",2023-01-29,"Films",4,"Narvik","N/A",1
"65","South Korea","KR",2023-01-29,"Films",5,"Alienoid Part 1","N/A",5
"66","South Korea","KR",2023-01-29,"Films",6,"Minions: The Rise of Gru","N/A",2
"67","South Korea","KR",2023-01-29,"Films",7,"Decision to Leave","N/A",5
"68","South Korea","KR",2023-01-29,"Films",8,"Life is Beautiful","N/A",3
"69","South Korea","KR",2023-01-29,"Films",9,"Broker","N/A",5
"70","South Korea","KR",2023-01-29,"Films",10,"The Policeman's Lineage","N/A",5
"71","South Korea","KR",2023-01-29,"TV",1,"Crash Course in Romance","Crash Course in Romance: Season 1",2
"72","South Korea","KR",2023-01-29,"TV",2,"Awaken","Awaken: Season 1",2
"73","South Korea","KR",2023-01-29,"TV",3,"The Glory","The Glory: Season 1",5
"74","South Korea","KR",2023-01-29,"TV",4,"Physical: 100","Physical: 100: Season 1",1
"75","South Korea","KR",2023-01-29,"TV",5,"The Interest of Love","The Interest of Love: Season 1",4
"76","South Korea","KR",2023-01-29,"TV",6,"Reborn Rich","N/A",11
"77","South Korea","KR",2023-01-29,"TV",7,"Mr. Sunshine","Mr. Sunshine: Season 1",14
"78","South Korea","KR",2023-01-29,"TV",8,"I am Solo","I am Solo: Part 9 - Part 12",29
"79","South Korea","KR",2023-01-29,"TV",9,"Red Balloon","Red Balloon: Season 1",4
"80","South Korea","KR",2023-01-29,"TV",10,"Mister Trot","Mister Trot: Season 2",1
"81","South Korea","KR",2023-01-22,"Films",1,"JUNG_E","N/A",1
"82","South Korea","KR",2023-01-22,"Films",2,"Confidential Assignment 2: International","N/A",3
"83","South Korea","KR",2023-01-22,"Films",3,"Life is Beautiful","N/A",2
"84","South Korea","KR",2023-01-22,"Films",4,"Minions: The Rise of Gru","N/A",1
"85","South Korea","KR",2023-01-22,"Films",5,"A Quiet Place Part II","N/A",1
"86","South Korea","KR",2023-01-22,"Films",6,"Alienoid Part 1","N/A",4
"87","South Korea","KR",2023-01-22,"Films",7,"Decision to Leave","N/A",4
"88","South Korea","KR",2023-01-22,"Films",8,"Devotion","N/A",1
"89","South Korea","KR",2023-01-22,"Films",9,"Broker","N/A",4
"90","South Korea","KR",2023-01-22,"Films",10,"The Policeman's Lineage","N/A",4
"91","South Korea","KR",2023-01-22,"TV",1,"The Glory","The Glory: Season 1",4
"92","South Korea","KR",2023-01-22,"TV",2,"Crash Course in Romance","Crash Course in Romance: Season 1",1
"93","South Korea","KR",2023-01-22,"TV",3,"Reborn Rich","N/A",10
"94","South Korea","KR",2023-01-22,"TV",4,"The Interest of Love","The Interest of Love: Season 1",3
"95","South Korea","KR",2023-01-22,"TV",5,"Red Balloon","Red Balloon: Season 1",3
"96","South Korea","KR",2023-01-22,"TV",6,"I am Solo","I am Solo: Part 9 - Part 12",28
"97","South Korea","KR",2023-01-22,"TV",7,"Mr. Sunshine","Mr. Sunshine: Season 1",13
"98","South Korea","KR",2023-01-22,"TV",8,"Awaken","Awaken: Season 1",1
